"type","duration","time"
"NDN","215","10:17:09 PM"
"NDN","159","10:17:09 PM"
"NDN","232","10:17:09 PM"
"NDN","177","10:17:10 PM"
"NDN","189","10:17:10 PM"
"NDN","174","10:17:10 PM"
"NDN","219","10:17:11 PM"
"NDN","229","10:17:12 PM"
"NDN","229","10:17:12 PM"
"NDN","225","10:17:13 PM"
"NDN","215","10:17:13 PM"
"NDN","213","10:17:13 PM"
"NDN","230","10:17:14 PM"
"NDN","212","10:17:14 PM"
"NDN","236","10:17:14 PM"
"NDN","198","10:17:15 PM"
"NDN","230","10:17:15 PM"
"NDN","228","10:17:15 PM"
"NDN","210","10:17:16 PM"
"NDN","1","10:17:16 PM"
"NDN","220","10:17:16 PM"
"NDN","200","10:17:17 PM"
"NDN","244","10:17:17 PM"
"NDN","27","10:17:17 PM"
"NDN","240","10:17:18 PM"
"NDN","236","10:17:18 PM"
"NDN","219","10:17:19 PM"
"NDN","991","10:17:20 PM"
"NDN","207","10:17:21 PM"
"NDN","237","10:17:22 PM"
"NDN","230","10:17:23 PM"
"NDN","228","10:17:23 PM"
"NDN","2","10:17:23 PM"
"NDN","195","10:17:26 PM"
"NDN","167","10:17:26 PM"
"NDN","215","10:17:27 PM"
"NDN","211","10:17:27 PM"
"NDN","187","10:17:27 PM"
"NDN","84","10:17:27 PM"
"NDN","224","10:17:28 PM"
"NDN","20","10:17:28 PM"
"NDN","196","10:17:29 PM"
"NDN","37","10:17:29 PM"
"AI","775","10:17:30 PM"
"NDN","204","10:17:30 PM"
"NDN","216","10:17:30 PM"
"NDN","197","10:17:31 PM"
"NDN","168","10:17:31 PM"
"NDN","214","10:17:31 PM"
"NDN","242","10:17:32 PM"
"NDN","49","10:17:32 PM"
"NDN","212","10:17:32 PM"
"NDN","5","10:17:32 PM"
"NDN","216","10:17:33 PM"
"NDN","205","10:17:33 PM"
"NDN","224","10:17:34 PM"
"AI","521","10:17:48 PM"
"NDN","183","10:17:49 PM"
"AI","510","10:17:58 PM"
"AI","519","10:17:58 PM"
"AI","261","10:18:01 PM"
"AI","273","10:18:07 PM"
"AI","287","10:18:12 PM"
"AI","284","10:18:18 PM"
"AI","260","10:18:28 PM"
"AI","273","10:18:28 PM"
"AI","793","10:18:38 PM"
"AI","2446","10:18:44 PM"
"AI","299","10:18:47 PM"
"AI","276","10:18:48 PM"
"AI","291","10:18:55 PM"
"AI","265","10:18:57 PM"
"AI","483","10:18:57 PM"
"AI","281","10:19:01 PM"
"AI","257","10:19:03 PM"
"NDN","3263","10:19:04 PM"
"NDN","1833","10:19:04 PM"
"NDN","1824","10:19:04 PM"
"NDN","764","10:19:04 PM"
"NDN","209","10:19:04 PM"
"NDN","134","10:19:04 PM"
"AI","259","10:19:04 PM"
"AI","283","10:19:05 PM"
"AI","307","10:19:13 PM"
"NDN","273","10:19:15 PM"
"AI","1065","10:19:19 PM"
"AI","1073","10:19:19 PM"
"NDN","222","10:19:24 PM"
"AI","272","10:19:27 PM"
"AI","252","10:19:36 PM"
"AI","281","10:19:38 PM"
"AI","228","10:19:42 PM"
"AI","1019","10:19:43 PM"
"AI","766","10:19:49 PM"
"AI","230","10:19:58 PM"
"AI","259","10:19:58 PM"
"AI","789","10:20:10 PM"
"AI","153","10:20:13 PM"
"AI","424","10:20:13 PM"
"AI","261","10:20:22 PM"
"AI","231","10:20:31 PM"
"AI","284","10:20:31 PM"
"AI","267","10:20:32 PM"
"AI","1192","10:20:41 PM"
"AI","260","10:20:42 PM"
"AI","220","10:20:52 PM"
"AI","220","10:20:52 PM"
"AI","461","10:20:52 PM"
"AI","280","10:20:55 PM"
"AI","937","10:21:00 PM"
"AI","253","10:21:02 PM"
"AI","525","10:21:03 PM"
"AI","734","10:21:06 PM"
"AI","264","10:21:09 PM"
"AI","1492","10:21:10 PM"
"AI","237","10:21:12 PM"
"AI","297","10:21:12 PM"
"AI","81","10:21:17 PM"
"AI","280","10:21:17 PM"