timestamp,uptime,event,value,qoe_score,avg_bitrate_mbps,rebuff_ratio_percent,switch_count,total_stall_sec
2026-05-12T15:17:08.499Z,0.94,SWITCH,0.56 Mbps,0.00,0.00,0.00,0,0.00
2026-05-12T15:17:49.230Z,41.68,SWITCH,3.40 Mbps,0.40,0.54,0.00,1,0.00
2026-05-12T15:17:58.540Z,50.99,SWITCH,0.56 Mbps,0.83,1.07,0.00,2,0.00
2026-05-12T15:19:15.637Z,128.08,SWITCH,3.40 Mbps,0.62,0.76,0.00,3,0.00
2026-05-12T15:19:19.115Z,131.56,SWITCH,0.56 Mbps,0.65,0.83,0.00,4,0.00
2026-05-12T15:19:24.502Z,136.95,SWITCH,3.40 Mbps,0.60,0.82,0.00,5,0.00
2026-05-12T15:19:27.890Z,140.34,SWITCH,0.56 Mbps,0.62,0.88,0.00,6,0.00
2026-05-12T15:20:02.078Z,174.52,STALL_START,-,0.61,0.82,0.00,6,0.00
2026-05-12T15:20:06.186Z,178.63,STALL_END,4.11s,-0.51,0.81,2.25,6,4.11
2026-05-12T15:21:12.060Z,244.51,STALL_START,-,-0.23,0.74,1.65,6,4.11
2026-05-12T15:21:13.141Z,245.59,STALL_END,1.08s,-0.44,0.74,2.07,6,5.19